Task,Perceived Energy,Location,Duration,Day,Time
Task 1,1,"360 Huntington Ave, Boston, MA 02115",01:00,,
Task 2,2,"795 Columbus Ave, Boston, MA 02120",01:00,,
Task 3,5,"797 Columbus Ave, Boston, MA 02120",01:00,,
Task 4,7,"100 Forsyth St, Boston, MA 02115",01:00,,
Task 5,4,"35 Leon St, Boston, MA 02115",01:00,,
Task 6,2,"190 Newbury St, Boston, MA 02116",01:00,,
Task 7,5,"1317 Commonwealth Ave, Allston, MA 02134",00:30,,
Task 8,7,"1317 Commonwealth Ave, Allston, MA 02134",02:00,,
Task 9,8,"190 Newbury St, Boston, MA 02116",02:00,,
Task 10,5,"360 Huntington Ave, Boston, MA 02115",00:30,,
Task 11,3,"360 Huntington Ave, Boston, MA 02115",00:30,,
Task 12,2,"795 Columbus Ave, Boston, MA 02120",02:00,,
Task 13,4,"797 Columbus Ave, Boston, MA 02120",01:00,,
Task 14,6,"100 Forsyth St, Boston, MA 02115",01:00,,
Task 15,7,"35 Leon St, Boston, MA 02115",01:00,,
Task 16,9,"190 Newbury St, Boston, MA 02116",01:00,,
Task 17,2,"1317 Commonwealth Ave, Allston, MA 02134",01:00,,
Task 18,1,"1317 Commonwealth Ave, Allston, MA 02134",01:00,,
Task 19,2,"190 Newbury St, Boston, MA 02116",01:00,,
Task 20,5,"360 Huntington Ave, Boston, MA 02115",01:00,,
Task 21,1,"360 Huntington Ave, Boston, MA 02115",01:00,,
Task 22,2,"795 Columbus Ave, Boston, MA 02120",01:00,,
Task 23,5,"797 Columbus Ave, Boston, MA 02120",01:00,,
Task 24,7,"100 Forsyth St, Boston, MA 02115",01:00,,
Task 25,4,,01:00,,
Task 26,2,,01:00,,
Task 27,5,,00:30,,
Task 28,7,,02:00,,
Task 29,8,,02:00,,
Task 30,5,,00:30,,
Task 31,3,,00:30,,
Task 32,2,,02:00,,
Task 33,4,,01:00,,
Task 34,6,,01:00,,
Task 35,7,,01:00,,
Task 36,9,,01:00,,
Task 37,2,,01:00,,
Task 38,1,,01:00,,
Task 39,2,,01:00,,
Task 40,5,,01:00,,
Task 41,1,,01:00,,
Task 42,2,,01:00,,
Task 43,5,,01:00,,
Task 44,7,,01:00,,
Task 45,4,,01:00,,
Task 46,2,,00:30,,
Task 47,5,,01:00,,
Task 48,7,,01:00,,
Task 49,9,,00:30,,
