month,day,year_after_2021,hour,day_of_week,count
1,1,0,0,4,0.0
1,1,0,1,4,0.0
1,1,0,2,4,0.0
1,1,0,3,4,0.0
1,1,0,4,4,0.0
1,1,0,5,4,0.0
1,1,0,6,4,0.0
1,1,0,7,4,0.0
1,1,0,8,4,0.0
1,1,0,9,4,0.0
1,1,0,10,4,0.0
1,1,0,11,4,1.0
1,1,0,12,4,2.0
1,1,0,13,4,2.0
1,1,0,14,4,1.0
1,1,0,15,4,1.0
1,1,0,16,4,1.0
1,1,0,17,4,0.0
1,1,0,18,4,0.0
1,1,0,19,4,0.0
1,1,0,20,4,0.0
1,1,0,21,4,0.0
1,1,0,22,4,0.0
1,1,0,23,4,0.0
1,2,0,0,5,0.0
1,2,0,1,5,0.0
1,2,0,2,5,0.0
1,2,0,3,5,0.0
1,2,0,4,5,0.0
1,2,0,5,5,0.0
1,2,0,6,5,0.0
1,2,0,7,5,0.0
1,2,0,8,5,0.0
1,2,0,9,5,0.0
1,2,0,10,5,0.0
1,2,0,11,5,1.0
1,2,0,12,5,15.0
1,2,0,13,5,7.0
1,2,0,14,5,11.0
1,2,0,15,5,10.0
1,2,0,16,5,8.0
1,2,0,17,5,3.0
1,2,0,18,5,0.0
1,2,0,19,5,0.0
1,2,0,20,5,0.0
1,2,0,21,5,0.0
1,2,0,22,5,0.0
1,2,0,23,5,0.0
1,3,0,0,6,0.0
1,3,0,1,6,0.0
1,3,0,2,6,0.0
1,3,0,3,6,0.0
1,3,0,4,6,0.0
1,3,0,5,6,0.0
1,3,0,6,6,0.0
1,3,0,7,6,0.0
1,3,0,8,6,0.0
1,3,0,9,6,0.0
1,3,0,10,6,0.0
1,3,0,11,6,0.0
1,3,0,12,6,17.0
1,3,0,13,6,13.0
1,3,0,14,6,9.0
1,3,0,15,6,11.0
1,3,0,16,6,10.0
1,3,0,17,6,2.0
1,3,0,18,6,0.0
1,3,0,19,6,0.0
1,3,0,20,6,0.0
1,3,0,21,6,0.0
1,3,0,22,6,0.0
1,3,0,23,6,0.0
1,4,0,0,0,0.0
1,4,0,1,0,0.0
1,4,0,2,0,0.0
1,4,0,3,0,0.0
1,4,0,4,0,0.0
1,4,0,5,0,0.0
1,4,0,6,0,0.0
1,4,0,7,0,1.0
1,4,0,8,0,14.0
1,4,0,9,0,10.0
1,4,0,10,0,15.0
1,4,0,11,0,15.0
1,4,0,12,0,34.0
1,4,0,13,0,43.0
1,4,0,14,0,33.0
1,4,0,15,0,26.0
1,4,0,16,0,27.0
1,4,0,17,0,14.0
1,4,0,18,0,13.0
1,4,0,19,0,2.0
1,4,0,20,0,0.0
1,4,0,21,0,0.0
1,4,0,22,0,0.0
1,4,0,23,0,0.0
1,5,0,0,1,0.0
1,5,0,1,1,0.0
1,5,0,2,1,0.0
1,5,0,3,1,0.0
1,5,0,4,1,0.0
1,5,0,5,1,3.0
1,5,0,6,1,1.0
1,5,0,7,1,5.0
1,5,0,8,1,10.0
1,5,0,9,1,16.0
1,5,0,10,1,27.0
1,5,0,11,1,23.0
1,5,0,12,1,23.0
1,5,0,13,1,15.0
1,5,0,14,1,27.0
1,5,0,15,1,26.0
1,5,0,16,1,28.0
1,5,0,17,1,19.0
1,5,0,18,1,24.0
1,5,0,19,1,10.0
1,5,0,20,1,6.0
1,5,0,21,1,3.0
1,5,0,22,1,0.0
1,5,0,23,1,0.0
1,6,0,0,2,0.0
1,6,0,1,2,0.0
1,6,0,2,2,0.0
1,6,0,3,2,0.0
1,6,0,4,2,0.0
1,6,0,5,2,1.0
1,6,0,6,2,0.0
1,6,0,7,2,1.0
1,6,0,8,2,10.0
1,6,0,9,2,9.0
1,6,0,10,2,18.0
1,6,0,11,2,18.0
1,6,0,12,2,29.0
1,6,0,13,2,32.0
1,6,0,14,2,12.0
1,6,0,15,2,18.0
1,6,0,16,2,28.0
1,6,0,17,2,16.0
1,6,0,18,2,10.0
1,6,0,19,2,4.0
1,6,0,20,2,0.0
1,6,0,21,2,0.0
1,6,0,22,2,0.0
1,6,0,23,2,0.0
1,7,0,0,3,0.0
1,7,0,1,3,0.0
1,7,0,2,3,0.0
1,7,0,3,3,2.0
1,7,0,4,3,0.0
1,7,0,5,3,0.0
1,7,0,6,3,1.0
1,7,0,7,3,1.0
1,7,0,8,3,12.0
1,7,0,9,3,10.0
1,7,0,10,3,18.0
1,7,0,11,3,25.0
1,7,0,12,3,36.0
1,7,0,13,3,28.0
1,7,0,14,3,36.0
1,7,0,15,3,20.0
1,7,0,16,3,19.0
1,7,0,17,3,11.0
1,7,0,18,3,10.0
1,7,0,19,3,2.0
1,7,0,20,3,0.0
1,7,0,21,3,0.0
1,7,0,22,3,0.0
1,7,0,23,3,0.0
1,8,0,0,4,0.0
1,8,0,1,4,0.0
1,8,0,2,4,0.0
1,8,0,3,4,0.0
1,8,0,4,4,0.0
1,8,0,5,4,0.0
1,8,0,6,4,0.0
1,8,0,7,4,1.0
1,8,0,8,4,9.0
1,8,0,9,4,12.0
1,8,0,10,4,23.0
1,8,0,11,4,28.0
1,8,0,12,4,27.0
1,8,0,13,4,32.0
1,8,0,14,4,22.0
1,8,0,15,4,30.0
1,8,0,16,4,18.0
1,8,0,17,4,10.0
1,8,0,18,4,6.0
1,8,0,19,4,1.0
1,8,0,20,4,0.0
1,8,0,21,4,0.0
1,8,0,22,4,0.0
1,8,0,23,4,0.0
1,9,0,0,5,0.0
1,9,0,1,5,0.0
1,9,0,2,5,0.0
1,9,0,3,5,0.0
1,9,0,4,5,0.0
1,9,0,5,5,0.0
1,9,0,6,5,0.0
1,9,0,7,5,0.0
1,9,0,8,5,0.0
1,9,0,9,5,0.0
1,9,0,10,5,0.0
1,9,0,11,5,0.0
1,9,0,12,5,20.0
1,9,0,13,5,19.0
1,9,0,14,5,20.0
1,9,0,15,5,17.0
1,9,0,16,5,14.0
1,9,0,17,5,4.0
1,9,0,18,5,0.0
1,9,0,19,5,0.0
1,9,0,20,5,0.0
1,9,0,21,5,0.0
1,9,0,22,5,0.0
1,9,0,23,5,0.0
1,10,0,0,6,0.0
1,10,0,1,6,0.0
1,10,0,2,6,0.0
1,10,0,3,6,0.0
1,10,0,4,6,0.0
1,10,0,5,6,0.0
1,10,0,6,6,0.0
1,10,0,7,6,0.0
1,10,0,8,6,0.0
1,10,0,9,6,0.0
1,10,0,10,6,0.0
1,10,0,11,6,0.0
1,10,0,12,6,25.0
1,10,0,13,6,17.0
1,10,0,14,6,21.0
1,10,0,15,6,14.0
1,10,0,16,6,13.0
1,10,0,17,6,9.0
1,10,0,18,6,0.0
1,10,0,19,6,0.0
1,10,0,20,6,0.0
1,10,0,21,6,1.0
1,10,0,22,6,0.0
1,10,0,23,6,0.0
1,11,0,0,0,0.0
1,11,0,1,0,0.0
1,11,0,2,0,0.0
1,11,0,3,0,0.0
1,11,0,4,0,0.0
1,11,0,5,0,0.0
1,11,0,6,0,1.0
1,11,0,7,0,2.0
1,11,0,8,0,18.0
1,11,0,9,0,14.0
1,11,0,10,0,17.0
1,11,0,11,0,32.0
1,11,0,12,0,31.0
1,11,0,13,0,31.0
1,11,0,14,0,27.0
1,11,0,15,0,22.0
1,11,0,16,0,30.0
1,11,0,17,0,31.0
1,11,0,18,0,9.0
1,11,0,19,0,15.0
1,11,0,20,0,0.0
1,11,0,21,0,0.0
1,11,0,22,0,2.0
1,11,0,23,0,0.0
1,12,0,0,1,0.0
1,12,0,1,1,0.0
1,12,0,2,1,0.0
1,12,0,3,1,0.0
1,12,0,4,1,0.0
1,12,0,5,1,1.0
1,12,0,6,1,0.0
1,12,0,7,1,3.0
1,12,0,8,1,26.0
1,12,0,9,1,17.0
1,12,0,10,1,18.0
1,12,0,11,1,19.0
1,12,0,12,1,36.0
1,12,0,13,1,49.0
1,12,0,14,1,33.0
1,12,0,15,1,29.0
1,12,0,16,1,23.0
1,12,0,17,1,14.0
1,12,0,18,1,13.0
1,12,0,19,1,4.0
1,12,0,20,1,0.0
1,12,0,21,1,0.0
1,12,0,22,1,0.0
1,12,0,23,1,0.0
1,13,0,0,2,0.0
1,13,0,1,2,0.0
1,13,0,2,2,0.0
1,13,0,3,2,0.0
1,13,0,4,2,0.0
1,13,0,5,2,0.0
1,13,0,6,2,0.0
1,13,0,7,2,5.0
1,13,0,8,2,20.0
1,13,0,9,2,19.0
1,13,0,10,2,23.0
1,13,0,11,2,27.0
1,13,0,12,2,35.0
1,13,0,13,2,32.0
1,13,0,14,2,46.0
1,13,0,15,2,31.0
1,13,0,16,2,33.0
1,13,0,17,2,24.0
1,13,0,18,2,17.0
1,13,0,19,2,7.0
1,13,0,20,2,0.0
1,13,0,21,2,0.0
1,13,0,22,2,0.0
1,13,0,23,2,0.0
1,14,0,0,3,0.0
1,14,0,1,3,0.0
1,14,0,2,3,0.0
1,14,0,3,3,0.0
1,14,0,4,3,0.0
1,14,0,5,3,0.0
1,14,0,6,3,0.0
1,14,0,7,3,1.0
1,14,0,8,3,27.0
1,14,0,9,3,25.0
1,14,0,10,3,17.0
1,14,0,11,3,38.0
1,14,0,12,3,39.0
1,14,0,13,3,36.0
1,14,0,14,3,45.0
1,14,0,15,3,52.0
1,14,0,16,3,36.0
1,14,0,17,3,17.0
1,14,0,18,3,10.0
1,14,0,19,3,9.0
1,14,0,20,3,0.0
1,14,0,21,3,0.0
1,14,0,22,3,0.0
1,14,0,23,3,0.0
1,15,0,0,4,0.0
1,15,0,1,4,0.0
1,15,0,2,4,0.0
1,15,0,3,4,0.0
1,15,0,4,4,0.0
1,15,0,5,4,0.0
1,15,0,6,4,0.0
1,15,0,7,4,2.0
1,15,0,8,4,28.0
1,15,0,9,4,22.0
1,15,0,10,4,29.0
1,15,0,11,4,40.0
1,15,0,12,4,38.0
1,15,0,13,4,48.0
1,15,0,14,4,60.0
1,15,0,15,4,52.0
1,15,0,16,4,30.0
1,15,0,17,4,26.0
1,15,0,18,4,23.0
1,15,0,19,4,5.0
1,15,0,20,4,0.0
1,15,0,21,4,0.0
1,15,0,22,4,0.0
1,15,0,23,4,0.0
1,16,0,0,5,0.0
1,16,0,1,5,0.0
1,16,0,2,5,0.0
1,16,0,3,5,0.0
1,16,0,4,5,0.0
1,16,0,5,5,0.0
1,16,0,6,5,0.0
1,16,0,7,5,0.0
1,16,0,8,5,0.0
1,16,0,9,5,0.0
1,16,0,10,5,0.0
1,16,0,11,5,2.0
1,16,0,12,5,37.0
1,16,0,13,5,28.0
1,16,0,14,5,34.0
1,16,0,15,5,26.0
1,16,0,16,5,45.0
1,16,0,17,5,13.0
1,16,0,18,5,0.0
1,16,0,19,5,0.0
1,16,0,20,5,0.0
1,16,0,21,5,0.0
1,16,0,22,5,0.0
1,16,0,23,5,0.0
1,17,0,0,6,0.0
1,17,0,1,6,0.0
1,17,0,2,6,0.0
1,17,0,3,6,0.0
1,17,0,4,6,0.0
1,17,0,5,6,0.0
1,17,0,6,6,0.0
1,17,0,7,6,0.0
1,17,0,8,6,1.0
1,17,0,9,6,0.0
1,17,0,10,6,0.0
1,17,0,11,6,4.0
1,17,0,12,6,44.0
1,17,0,13,6,51.0
1,17,0,14,6,45.0
1,17,0,15,6,38.0
1,17,0,16,6,39.0
1,17,0,17,6,14.0
1,17,0,18,6,1.0
1,17,0,19,6,0.0
1,17,0,20,6,0.0
1,17,0,21,6,0.0
1,17,0,22,6,0.0
1,17,0,23,6,0.0
1,18,0,0,0,0.0
1,18,0,1,0,0.0
1,18,0,2,0,0.0
1,18,0,3,0,0.0
1,18,0,4,0,0.0
1,18,0,5,0,0.0
1,18,0,6,0,0.0
1,18,0,7,0,0.0
1,18,0,8,0,0.0
1,18,0,9,0,0.0
1,18,0,10,0,1.0
1,18,0,11,0,3.0
1,18,0,12,0,97.0
1,18,0,13,0,74.0
1,18,0,14,0,75.0
1,18,0,15,0,40.0
1,18,0,16,0,47.0
